job title,job type,location,path

Python Developer (Flask) - Ocucon Team (UK) - (Alexandria),Full time,"San Stefano, Alexandria, Egypt",https://wuzzuf.net/jobs/p/2EaljwUfudGP-Python-Developer-Flask---Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb

Senior Python Developer,Full timeWork from home,"Cairo, Egypt",https://wuzzuf.net/jobs/p/H144p9huwzlS-Senior-Python-Developer-Technidrome-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb

Python Developer - Senior & Mid-Level,Full timeShift basedWork from home,"Alexandria, Egypt",https://wuzzuf.net/jobs/p/LQLgevOmxn9C-Python-Developer---Senior-Mid-Level-Ibtikar-Alexandria-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb

Senior JavaScript Developer - Python,Full time,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/p/yfCtycLCyZuS-Senior-JavaScript-Developer---Python-Flairstech-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb

"Backend Engineer ""Python Django""",Full time,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/zlEB650hjpxS-Backend-Engineer-Python-Django-STC-Solutions---Egypt-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb

Senior Python Developer,Full time,"Assuit, Assiut, Egypt",https://wuzzuf.net/jobs/p/4Yi8XQc4hBUJ-Senior-Python-Developer-INTDV-Assiut-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb

Senior Python Developer - Remote,Full timeWork from home,"6th of October, Giza, Egypt",https://wuzzuf.net/jobs/p/EtlbaXsZXq1t-Senior-Python-Developer---Remote-Nile-Bits-LLC-Giza-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb

Python Developer,Full time,"Heliopolis, Cairo, Egypt",https://wuzzuf.net/jobs/p/iXoVWzxBvspY-Python-Developer-Trufla-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb

Python - Pandas,Full time,"New Cairo, Cairo, Egypt",https://wuzzuf.net/jobs/p/Vai6e0n9ZZOL-Python---Pandas-Cegedim-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb

Senior Python Django Full Stack Developer Remot,Full time,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/p/YSdQCC5DOoCj-Senior-Python-Django-Full-Stack-Developer-Remot-Minds-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb

Full Stack Python & Java Developer,Full time,"Nasr City, Cairo, Egypt",https://wuzzuf.net/jobs/p/Ijq5EqIj28o3-Full-Stack-Python-Java-Developer-Nureab-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb

Senior Software Engineer - Python,Full time,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/p/Wrdr2Xlz7Iw0-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb

Senior Full Stack Python Developer,Full time,"Maadi, Cairo, Egypt",https://wuzzuf.net/jobs/p/7V9FZCMeAMYp-Senior-Full-Stack-Python-Developer-Flairstech-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb

Python Developer,Full timeWork from home,"Cairo, Egypt",https://wuzzuf.net/jobs/p/1JoaiLsEbEba-Python-Developer-ADVINTIC-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb

Full Stack Python Developer,Full time,"Cairo, Egypt",https://wuzzuf.net/jobs/p/ixZFQx49DuUY-Full-Stack-Python-Developer-Crevisoft-Corporation-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb

